id,ffold,age,child.present,district,contact.time.gte.60.min,contact.time.gte.60.max,contact.age.lte.5.min,contact.age.5.to.19.min,contact.age.20.to.64.min,contact.age.gte.65.min,contact.age.lte.5.max,contact.age.5.to.19.max,contact.age.20.to.64.max,contact.age.gte.65.max,location.min,location.max,contact.close.min,contact.close.max,contact.all.total.min,contact.all.total.max,contact.time.gte.10.min,contact.time.gte.30.min,contact.age.lte.19.min,contact.age.lt.65.min,contact.time.gte.10.max,contact.time.gte.30.max,contact.age.lte.19.max,contact.age.lt.65.max,contact.age.ave.min,contact.time.min.min,contact.age.ave.max,contact.time.min.max
S0904484,0,54.07255305,1,HK Island,1,1,0,1,4,0,0,1,4,0,2,2,1,1,5,5,4,4,1,5,4,4,1,5,17.2,37.5,17.2,37.5
S0904491,0,59.38945927,0,HK Island,0,0,0,0,2,0,0,0,2,0,2,2,0,0,2,2,0,0,0,2,0,0,0,2,20,0,20,0
S0904502,0,65.70841889,0,NT East,5,5,0,0,4,5,0,0,4,5,3,3,0,0,9,9,7,5,0,4,7,5,0,4,45,35.55555556,45,35.55555556
S0904503,0,68.98836413,0,NT East,14,15,0,0,23,2,0,0,25,2,6,9,1,1,25,27,16,16,0,23,17,17,0,25,23.6,36,23.33333333,35.55555556
S0904510,1,16.42984257,1,HK Island,3,3,0,1,2,0,0,1,2,0,1,1,0,0,3,3,3,3,1,3,3,3,1,3,15.33333333,60,15.33333333,60
S0904511,0,17.82067077,1,HK Island,0,0,0,1,4,0,0,1,4,0,2,2,2,2,5,5,2,2,1,5,2,2,1,5,17.2,12,17.2,12
S0904512,0,44.59137577,1,HK Island,3,3,0,2,3,0,0,2,3,0,2,2,0,0,5,5,5,5,2,5,5,5,2,5,14.4,48,14.4,48
S0904513,0,56.64613279,1,HK Island,7,7,0,2,5,0,0,2,5,0,2,2,0,0,7,7,7,7,2,7,7,7,2,7,16,60,16,60
S0904530,0,49.82614648,0,KLN East,2,2,0,0,4,2,0,0,5,2,2,2,0,0,6,7,6,6,0,4,7,7,0,5,35,40,32.85714286,38.57142857
S0904540,1,8.306206897,1,NT East,4,4,0,0,4,1,0,0,4,1,3,4,4,4,5,5,4,4,0,4,4,4,0,4,29,48,29,48
S0904542,0,29.86721424,1,NT East,3,3,0,1,3,2,0,1,3,2,1,1,2,2,6,6,4,4,1,4,4,4,1,4,32.66666667,35,32.66666667,35
S0904543,0,49.43463381,1,NT East,20,20,0,1,18,1,0,1,18,1,2,8,3,3,20,20,20,20,1,19,20,20,1,19,21.55,60,21.55,60
S0904544,1,54.99794661,1,NT East,2,2,1,0,5,0,1,0,5,0,3,3,2,2,6,6,6,3,1,6,6,3,1,6,16.66666667,30,16.66666667,30
S0904545,0,62.85010267,1,NT East,0,0,0,0,5,0,0,0,6,0,3,3,1,1,5,6,1,0,0,5,1,0,0,6,20,2,20,1.666666667
S0904553,0,69.7467488,0,NT East,0,0,0,0,5,0,0,0,5,0,1,1,0,0,5,5,0,0,0,5,0,0,0,5,20,0,20,0
S0904561,0,62.89117043,0,NT West,1,1,0,0,5,0,0,0,5,0,3,3,1,1,5,5,4,4,0,5,4,4,0,5,20,30,20,30
S0904571,0,77.3908282,0,KLN West,61,62,0,0,3,1,0,0,4,1,2,3,3,5,62,63,61,61,0,3,62,62,0,4,31.25,59.03225806,29,59.04761905
S0904592,0,51.77823409,0,NT West,5,5,0,0,10,0,0,0,10,0,3,6,1,1,10,10,7,5,0,10,7,5,0,10,20,32,20,32
S0904600,1,13.25667351,1,KLN East,2,2,0,0,1,1,0,0,1,1,1,1,1,1,2,2,2,2,0,1,2,2,0,1,42.5,60,42.5,60
S0904601,0,55.79466119,1,KLN East,1,1,0,1,6,0,0,1,6,0,6,6,1,1,7,7,1,1,1,7,1,1,1,7,18,8.571428571,18,8.571428571
S0904612,0,38.78986995,1,HK Island,38,38,0,34,7,0,0,34,7,0,4,5,3,3,41,41,39,38,34,41,39,38,34,41,8.390243902,55.85365854,8.390243902,55.85365854
